;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;58.0;63.0;60.96692203431293;62.2478115942029;63.66012;69.42563738197421;60.87264403483274;65.47716121681857;83.9014347826087
1;62.0;57.0;66.0;63.60367793844721;66.46124637681159;58.47775;69.70808712034278;65.58281165190542;64.96139974579475;83.9014347826087
2;65.0;71.0;69.0;61.29540865293797;70.79686956521738;66.49486;70.26769257828522;68.85475948923497;67.84714479637981;83.9014347826087
3;76.0;70.0;70.0;66.36951691756582;71.0656231884058;66.87465;71.4696778381158;66.12232246820481;68.70060852356423;83.9014347826087
4;86.0;69.0;72.0;69.70670986022643;72.6234347826087;72.511154;72.14251433554895;73.41235972270246;69.72051968207536;83.9014347826087
5;86.0;77.0;77.0;78.35804590878863;77.67;76.141266;75.81761288598548;77.75427861087928;79.42561408665134;83.9014347826087
6;89.0;80.0;87.0;92.18052145322619;89.51;90.15309;80.61188688339907;87.2679327734205;89.19948035751015;83.9014347826087
7;89.0;93.0;92.0;91.63118217805749;90.89;96.00093;84.65250285450851;87.78677754775406;94.9049872492896;83.9014347826087
8;89.0;82.0;93.0;94.86779043581956;93.94;101.02045;89.30627846472075;87.96743088292632;96.83728486759279;83.9014347826087
9;89.0;86.0;92.0;90.17364680302384;89.55;93.010735;90.08824202516723;87.80827991050666;95.36814385843014;83.9014347826087
10;89.0;92.0;92.0;89.32306507932446;91.78;97.57374;87.33219357621415;93.43830764900254;96.07263907823214;83.9014347826087
11;89.0;89.0;91.0;83.64071692980829;92.0;90.83706;83.39553694899843;87.42480914683743;92.40693091850707;83.9014347826087
12;89.0;101.0;89.0;85.36449228599929;93.95;91.80492;80.40852861425034;89.89757933687318;89.92772999572344;83.9014347826087
13;76.0;72.0;80.0;76.8966802440356;83.27;83.878265;78.26195641216955;79.23694425631109;83.71646702008908;83.9014347826087
14;76.0;77.0;82.0;82.19700908982004;86.56;87.5303;79.68812871220153;82.09209092788974;84.15828722843905;83.9014347826087
15;76.0;77.0;89.0;83.28866480502343;85.73;94.66367;81.87186837617112;81.41629901068944;82.30092599238621;83.9014347826087
16;76.0;76.0;82.0;77.54594875093419;82.1378115942029;78.5153;80.10584401840578;82.05737731060654;80.53660497125169;83.9014347826087
17;76.0;74.0;82.0;76.90652530085463;80.58;78.000916;78.84339677615014;80.99494143783589;79.47194856053946;83.9014347826087
18;76.0;72.0;77.0;75.57581053648471;79.37;78.22634;76.02540504177018;76.39773424481409;79.0760285678216;83.9014347826087
19;75.0;76.0;76.0;67.72393691622143;75.0856231884058;73.25135;72.91709318272542;76.61177147878384;75.08451674842284;83.9014347826087
20;63.0;69.0;69.0;64.71928483643818;66.41124637681159;67.90324;70.05273248924846;67.42285812901947;69.05426375037084;83.9014347826087
21;63.0;80.0;71.0;69.34571497456686;71.31249275362319;74.05965;71.96397576695873;71.77003899677513;70.78689061179692;83.9014347826087
22;63.0;69.0;76.0;82.54458098895002;73.73468115942028;70.402954;73.68463407389623;68.97478250498754;72.80442754165249;83.9014347826087
23;63.0;65.0;68.0;66.55120247017102;67.8756231884058;64.86245;71.52885633721627;67.04977651653424;68.84435917643538;83.9014347826087
24;63.0;72.0;67.78115942028985;80.33032911405292;67.2456231884058;67.983665;71.39894725359892;63.72585901977784;67.44492063867696;83.9014347826087
25;66.0;63.0;72.0;85.6989083866106;70.89905797101449;73.63639;72.45832645955913;69.78282368419067;68.29547065304408;83.9014347826087
26;66.0;63.0;66.0;61.438921573822114;65.1434347826087;66.513695;70.37401034118787;67.0501495746006;69.99351940121794;83.9014347826087
27;66.0;72.0;71.0;66.93621948335475;72.71249275362318;71.22404;71.19617118057408;69.63513385818845;71.94523288222756;83.9014347826087
28;66.0;67.0;70.0;67.33441142235894;70.68905797101448;65.05738;73.32911961587342;70.79494706059285;71.84428069272667;83.9014347826087
29;66.0;71.0;75.0;70.45615076109212;73.7512463768116;71.815895;73.83460764644346;68.67261341855044;72.4366595469677;83.9014347826087
30;66.0;67.78115942028985;69.0;68.26701177389796;70.12905797101449;68.79571;72.35933710710705;67.02105545997176;68.12366746199591;83.9014347826087
31;66.0;68.0;68.0;70.00731982385282;68.1734347826087;67.48436;72.50985354812104;67.41693072557094;69.18914400374155;83.9014347826087
32;65.0;63.0;66.0;64.39904626416644;66.6434347826087;62.38735;70.41951282635192;66.5730680972122;67.23879536632954;83.9014347826087
33;67.78115942028985;69.0;72.0;64.5899161381364;74.5456231884058;73.20132;71.17341950609116;74.40007261611844;72.33292314932125;83.9014347826087
34;67.78115942028985;77.0;72.0;67.34122638207633;72.62124637681158;69.07569;71.17115295059156;71.71593821957242;68.68624365600705;83.9014347826087
35;67.78115942028985;67.0;72.0;70.86205389335893;70.73686956521739;70.022545;72.93631966033465;69.69753915278596;70.95538026512381;83.9014347826087
36;67.78115942028985;71.0;72.0;71.82780058033744;70.42686956521739;72.2408;75.82619472865865;69.08757420970286;74.95311017434753;83.9014347826087
37;67.78115942028985;69.0;72.0;75.02057010008218;71.44905797101448;70.04263;78.25427176289894;68.31427740118099;75.09942652233079;83.9014347826087
38;67.78115942028985;67.78115942028985;73.0;71.47208835335401;73.93124637681159;68.579544;78.98686349001396;79.84635019068463;75.9670489228206;83.9014347826087
39;67.78115942028985;67.78115942028985;73.0;74.21225021393526;73.69905797101448;74.55261;79.64953602191311;76.66247897941919;78.20211523868684;83.9014347826087
40;67.78115942028985;67.78115942028985;76.0;73.95751355074944;73.55249275362317;75.72358;80.17424821710298;78.00646232309913;79.64782955449493;83.9014347826087
41;67.78115942028985;67.78115942028985;76.0;75.51403554309555;73.88686956521738;77.56956;80.17230526287507;77.82514345191427;79.2220473484733;83.9014347826087
42;67.78115942028985;67.78115942028985;76.0;74.91315380513194;74.15936231884056;76.72943;80.2808857221057;75.92404485902918;77.33633984268266;83.9014347826087
43;67.78115942028985;67.78115942028985;76.0;76.57827683030006;72.82373913043477;79.133354;80.03334227834542;71.38938845159839;73.70709338750562;83.9014347826087
44;67.78115942028985;67.0;74.0;71.63964032657236;73.23592753623187;71.60887;79.65760401713557;71.47933250094042;72.40140202243326;83.9014347826087
45;67.78115942028985;69.0;76.0;77.70507923558313;74.55468115942028;71.922195;79.54963791862727;77.84881948941198;77.1839039950015;83.9014347826087
