;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;57.0;66.0;64.22488041112386;63.047811594202905;62.0345;75.65199393630996;65.31093266130307;64.7785899237285;83.9014347826087
1;62.0;61.0;66.0;68.00987182429205;65.61249275362319;64.804085;76.11168092771929;67.08614696020781;65.61245875256847;83.9014347826087
2;65.0;76.0;69.0;69.50055653106058;68.38373913043478;67.65261;76.62341632439323;68.95290211908993;68.82965990149891;83.9014347826087
3;76.0;76.0;76.0;69.0581398302641;76.47562318840579;78.32692;77.61205268116093;78.72246703310994;71.81179562968236;83.9014347826087
4;86.0;103.0;84.0;78.04514325352442;86.0;78.115524;78.22638806324704;83.04621270492181;81.52201271688352;83.9014347826087
5;86.0;93.0;87.0;78.66934931150435;89.21;87.61329;79.29729735534708;87.08434537969244;82.52861291574048;83.9014347826087
6;89.0;80.0;90.0;87.67203291586476;92.76;95.43542;80.28177051478968;90.46328568412567;87.5817627661763;83.9014347826087
7;89.0;90.0;92.0;88.93423688637687;90.2;90.69563;80.22490223823286;87.58319850220666;96.07626076342402;83.9014347826087
8;89.0;84.0;91.0;88.45174411767859;89.39;88.853226;80.29853618577711;90.42070592485182;92.84552557988513;83.9014347826087
9;89.0;82.0;92.0;90.15150906023503;90.44;92.41079;80.15509695358708;89.70344358716645;91.75389352085267;83.9014347826087
10;89.0;90.0;92.0;88.65644298859125;91.34;92.087296;79.51419167030268;92.14381978285584;89.02237655774545;83.9014347826087
11;89.0;92.0;89.0;88.30533064445638;91.56;87.99974;79.11162040400386;91.98886796394784;92.85339616267373;83.9014347826087
12;89.0;94.0;87.0;85.62109249845918;88.83;87.68733;78.44695657118936;86.95569702134593;86.9013275912802;83.9014347826087
13;76.0;77.0;78.0;80.19536454625235;78.42;77.994896;77.24734312007874;78.59900388286808;78.60498261999656;83.9014347826087
14;76.0;80.0;80.0;78.32012547116496;78.29;74.674324;76.60562616906203;78.89379990364296;78.16630863223529;83.9014347826087
15;76.0;69.0;78.0;73.42752156385147;79.98;76.17716;76.23970395528735;81.2363016367496;76.5809773505038;83.9014347826087
16;76.0;71.0;80.0;74.29917347433162;77.7778115942029;76.47056;75.933160280326;79.31285919026297;74.62318876166705;83.9014347826087
17;76.0;77.0;77.0;71.96862252767983;79.62;75.34312;75.57424002743039;83.79908693762087;76.63271541497053;83.9014347826087
18;76.0;77.0;76.0;67.94069914167544;78.04;75.11846;74.69538504008268;78.38221867217595;74.47470170671536;83.9014347826087
19;75.0;76.0;72.0;66.57116229325486;74.67781159420291;69.96247;73.90540153709772;72.29196944117062;69.62807384649862;83.9014347826087
20;63.0;65.0;67.78115942028985;66.95993283351156;66.8568695652174;67.21617;73.75290508264189;64.58953949469034;64.47208937958824;83.9014347826087
21;63.0;80.0;67.78115942028985;66.1771965278235;67.24468115942027;68.80075;74.1119440177126;64.99621141677609;65.88259222002225;83.9014347826087
22;63.0;66.0;67.78115942028985;68.14752844587737;67.6112463768116;69.67434;74.33827368251517;66.44946214090574;67.81459380503749;83.9014347826087
23;63.0;63.0;68.0;66.17160593057264;67.61905797101448;66.72496;74.54201245968697;67.46354341263537;66.78050624408111;83.9014347826087
24;63.0;66.0;67.0;65.27019072702976;66.65686956521739;67.05261;74.34255439105632;67.65023573161143;66.72504896077143;83.9014347826087
25;66.0;70.0;70.0;64.99366894060161;68.35686956521738;66.94562;74.78662680361079;66.9906513170092;68.18709486334797;83.9014347826087
26;66.0;67.0;70.0;64.88848748112846;67.71905797101448;68.21509;75.01881294115225;66.07586039900849;65.14895033572756;83.9014347826087
27;66.0;71.0;69.0;66.20219856349642;69.15124637681159;61.638363;74.73441616304646;63.511382038049426;66.32336070170308;83.9014347826087
28;66.0;66.0;69.0;64.58938695017441;68.75905797101449;68.26879;75.56275888765957;67.98849437557257;68.22614237736742;83.9014347826087
29;66.0;71.0;68.0;61.74304648381143;67.67468115942027;69.416115;75.57085204027335;70.23384133388839;68.120031571038;83.9014347826087
30;66.0;56.0;69.0;56.99431744374054;67.3934347826087;72.18237;75.92304940859908;70.02943458420317;66.16048318147708;83.9014347826087
31;66.0;77.0;69.0;61.156046229815864;67.4556231884058;65.98323;76.46869218043673;71.18409028210665;70.5383111724384;83.9014347826087
32;65.0;65.0;70.0;65.17815270803737;67.87905797101449;72.28317;76.33835691401957;67.40793571383087;71.27829871457837;83.9014347826087
33;67.78115942028985;65.0;70.0;68.1555840771379;69.78155072463765;69.52734;76.35565320725624;69.91012642753495;71.61255121027324;83.9014347826087
34;67.78115942028985;67.0;71.0;68.1672322665162;70.86343478260869;71.90536;76.520039321077;69.58942615716828;73.19011474302837;83.9014347826087
35;67.78115942028985;61.0;71.0;66.63671517254184;69.46592753623187;72.33409;77.56517799861287;72.26142225186864;75.89004853608986;83.9014347826087
36;67.78115942028985;71.0;72.0;76.20273804870061;70.65373913043476;74.0401;78.65846083612502;73.34470479585322;78.77206265591582;83.9014347826087
37;67.78115942028985;63.0;74.0;80.6915226650038;72.4156231884058;71.2506;79.76818727490394;71.51564013099082;75.5866398737653;83.9014347826087
38;67.78115942028985;67.0;73.0;81.58131735544718;72.10249275362317;72.73184;80.08909874565673;74.47545654725727;77.94085255748138;83.9014347826087
39;67.78115942028985;67.0;75.0;77.47543358056693;72.32343478260869;70.67499;80.07111443319111;72.76626274186604;75.88773338663671;83.9014347826087
