;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;58.0;67.0;66.31253609720306;62.75343478260869;65.91467;75.62692643776778;65.2099680266816;64.500199878914;83.9014347826087
1;62.0;67.0;67.78115942028985;67.89197560472591;66.56592753623187;65.68523;76.23061026681535;66.04504993481234;65.19330451947285;83.9014347826087
2;65.0;76.0;69.0;70.64774010395027;69.03592753623187;67.17006;76.6778429451771;68.77248677004937;68.27761830250451;83.9014347826087
3;76.0;77.0;73.0;76.47870112801627;76.85562318840579;77.6174;77.78506468111664;76.673763641137;73.93391020248724;83.9014347826087
4;86.0;98.0;83.0;77.91101160133461;85.41;78.22253;78.38727949374234;82.78534958626292;82.67009311211615;83.9014347826087
5;86.0;93.0;89.0;80.13311121749061;88.49;86.123085;79.52648781723627;85.44301701892213;85.38603057240833;83.9014347826087
6;89.0;86.0;91.0;83.32517818075341;92.25;98.31418;80.4608577429969;90.34897927222596;92.33054273960593;83.9014347826087
7;89.0;86.0;91.0;87.03506481444056;89.59;94.33817;80.36217283173868;86.41324115474151;87.59455335231975;83.9014347826087
8;89.0;84.0;92.0;85.98089612480452;92.68;89.83961;80.41850298274213;88.51737952422955;93.05718021843217;83.9014347826087
9;89.0;82.0;87.0;89.32725343490502;91.56;92.22267;80.35304217495718;89.27179126767282;94.23536900813569;83.9014347826087
10;89.0;90.0;90.0;88.50142296409874;91.24;92.78624;79.70544149350224;92.13378312029555;90.89457180653288;83.9014347826087
11;89.0;89.0;89.0;88.58976276851263;91.52;87.489365;79.32517711697179;90.97413074295505;88.52497896374311;83.9014347826087
12;89.0;90.0;89.0;87.74693503388511;88.31;87.303215;78.54459561701533;87.54727545404513;84.58976962551654;83.9014347826087
13;76.0;76.0;77.0;77.85762080531956;77.8578115942029;79.5361;77.35601950564316;79.33948040960382;78.75911708037223;83.9014347826087
14;76.0;77.0;77.0;78.89138612317777;78.87781159420291;73.86489;76.66534474312388;77.91566181102601;79.54306149359596;83.9014347826087
15;76.0;68.0;77.0;76.54698620480777;80.1;78.820335;76.31814270128334;79.7678137762401;79.08228783185083;83.9014347826087
16;76.0;71.0;80.0;75.87704492257461;78.6956231884058;78.85555;76.0233083867065;80.81362969165632;78.5789415403276;83.9014347826087
17;76.0;76.0;80.0;71.88595353460512;78.7;75.57475;75.67457225571054;84.74172082657779;79.31992375359023;83.9014347826087
18;76.0;76.0;77.0;69.1195404785383;76.79562318840578;74.82491;74.7388417461259;76.91286076153074;78.5090968901568;83.9014347826087
19;75.0;76.0;75.0;64.20373731382456;74.2156231884058;72.385765;73.90312835252197;71.8068150280575;71.96967167111025;83.9014347826087
20;63.0;65.0;67.0;67.15989432975006;65.85686956521738;67.58881;73.58487521240049;64.24314100844786;66.8866368598026;83.9014347826087
21;63.0;76.0;67.78115942028985;60.86669197909357;66.84124637681158;64.03104;73.96164034928775;65.56238378340943;69.2863485447681;83.9014347826087
22;63.0;69.0;67.78115942028985;68.92028401424483;67.55686956521737;67.70146;74.28591992393463;66.5791358133569;69.82600134861383;83.9014347826087
23;63.0;63.0;68.0;65.58739177312657;66.5590579710145;68.90657;74.33612858049497;69.04116763824837;69.6348341849299;83.9014347826087
24;63.0;63.0;68.0;65.31576324574013;66.5934347826087;64.62325;74.34741581400611;67.19201492797154;67.59580273399408;83.9014347826087
25;66.0;67.0;71.0;65.49408811367951;68.28124637681158;66.538826;74.77678049936405;67.97541958906734;69.65281072013633;83.9014347826087
26;66.0;68.0;69.0;65.00620653310648;67.41124637681159;67.518005;75.00710242979959;66.37131384680028;68.14101077848493;83.9014347826087
27;66.0;70.0;69.0;62.916137792710934;68.03030434782607;63.078773;74.78251034683775;64.8221748695296;66.0224035791774;83.9014347826087
28;66.0;67.0;71.0;65.09597035399538;67.1112463768116;68.44383;75.51771377173534;67.04526111894359;67.15003295441807;83.9014347826087
29;66.0;69.0;68.0;61.885426471263465;67.44905797101448;66.22174;75.38284233197291;68.86938304097109;67.84847628182132;83.9014347826087
30;66.0;58.0;69.0;60.328216024411354;67.31905797101449;69.540146;75.21584237308598;67.19602943153508;68.94456763400974;83.9014347826087
31;66.0;77.0;69.0;66.19884771214247;66.48030434782608;67.292336;76.36372014653664;70.80145250779347;70.29828902585503;83.9014347826087
32;65.0;65.0;69.0;68.77900762251677;67.01811594202897;71.23209;76.14664611517313;70.78059298189226;69.9506118933416;83.9014347826087
33;67.78115942028985;65.0;70.0;66.62889058470897;68.18592753623189;69.89865;76.31729429679807;71.06957029156482;72.50559637551073;83.9014347826087
34;67.78115942028985;67.78115942028985;76.0;73.45008819846203;69.01811594202897;73.59607;76.2714221069827;71.00662725463393;73.54811794942647;83.9014347826087
35;67.78115942028985;61.0;74.0;76.07797288620856;69.47686956521738;71.4061;77.24618440435646;73.84286777436974;74.3622500121866;83.9014347826087
36;67.78115942028985;70.0;75.0;75.0864510753801;70.92811594202897;72.45152;78.52905056570447;73.20935633457451;75.21567440432473;83.9014347826087
37;67.78115942028985;65.0;75.0;77.58014098509632;71.01030434782608;70.43945;79.66689527282529;71.46873957166306;75.92034716316152;83.9014347826087
38;67.78115942028985;67.0;73.0;76.70413052876678;70.28373913043478;77.46874;80.09815062893328;73.19323046388358;76.21773272234539;83.9014347826087
39;67.78115942028985;67.0;73.0;74.8718557673462;71.40373913043476;74.71479;80.1269873043173;74.04683707808867;75.39844143447385;83.9014347826087
40;67.78115942028985;67.0;74.0;74.95326455862283;71.72249275362319;73.521736;80.34641002658367;72.65188968341809;74.0867741632943;83.9014347826087
41;67.78115942028985;67.0;75.0;76.04185773241053;72.17811594202897;74.11524;80.56310933139665;72.49853084060594;76.72743260734623;83.9014347826087
42;67.78115942028985;67.0;74.0;79.98665285952627;71.13592753623186;72.83649;80.72812251652556;69.37767008063278;75.10724961621267;83.9014347826087
43;67.78115942028985;65.0;74.0;71.45944015857005;71.65592753623187;71.83771;80.88969029716753;72.56664869952422;71.9380921026574;83.9014347826087
44;67.78115942028985;77.0;75.0;72.28333241656472;69.97155072463767;73.50621;81.0418771809984;67.75645965725994;69.67468734117301;83.9014347826087
45;67.78115942028985;69.0;74.0;73.20256471586683;70.84592753623187;70.66248;80.92627002859243;65.7188217323999;70.86373780334344;83.9014347826087
46;67.78115942028985;67.0;72.0;74.21590770099496;70.86686956521739;72.36164;81.03842490475674;68.30776397892157;73.82062542964466;83.9014347826087
47;67.78115942028985;77.0;74.0;72.81416947213015;70.37373913043476;74.247826;80.82743791474296;68.01289615673419;73.44904383898512;83.9014347826087
48;67.78115942028985;77.0;74.0;72.14668065756172;71.54686956521739;69.43631;80.79151978450965;70.47032322791225;74.114931344608;83.9014347826087
49;76.0;76.0;76.0;72.4172642284208;78.6656231884058;77.47311;81.36576133628039;76.94042565036513;77.97559467429423;83.9014347826087
50;82.0;82.0;80.0;73.2841350009333;82.94;78.4433;82.04068166336143;78.71246914378858;77.67851751844476;83.9014347826087
51;115.0;106.0;103.0;89.04913623165778;100.12;103.64175;83.30136548308136;109.82218680951313;109.91320891313656;83.9014347826087
52;115.0;113.0;99.0;105.74102582568777;100.94;103.01481;84.5004198203853;104.65926276587838;106.97480973618515;83.9014347826087
53;115.0;106.0;101.0;102.74319166513524;100.46;111.49277;85.11666618574985;101.52172910079393;103.4692274283635;83.9014347826087
54;115.0;80.0;99.0;100.05441727638268;100.98;106.87002;85.31024081428502;102.20626299781013;105.65165761177923;83.9014347826087
55;115.0;103.0;103.0;111.5640544001806;108.53;101.51017;85.74145908927663;105.62450530275437;112.91514324009898;83.9014347826087
56;115.0;113.0;106.0;119.046326383149;107.93;106.1403;85.69793143414287;110.05904124232516;111.61114449621402;83.9014347826087
57;115.0;93.0;103.0;124.3431477372504;106.0;97.548546;85.37840975349656;101.8813897615311;116.09763266040923;83.9014347826087
58;98.0;83.0;97.0;116.96436822044504;101.23;95.02166;83.32795131172793;94.54283150825762;96.6935423632587;83.9014347826087
59;98.0;82.0;93.0;104.66518504968874;105.65;104.6887;82.33646382723805;100.72708239916254;98.6609846768558;83.9014347826087
60;98.0;113.0;97.0;101.61416072450064;107.08;96.32761;81.69705618653778;101.93969905409347;101.43173308244826;83.9014347826087
61;98.0;113.0;93.0;98.75316877250822;106.36;113.29045;81.65929948798467;107.46552192206437;104.54705647584905;83.9014347826087
62;98.0;80.0;101.0;100.50471950232674;101.87;97.028946;80.64702480071507;107.72319050314093;103.16892662659414;83.9014347826087
63;82.0;106.0;84.0;85.38465992643134;86.01;96.15388;78.9105857470771;86.07480101293349;87.24538891472994;83.9014347826087
