;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;58.0;64.0;63.099507112785105;61.70124637681159;63.452976;72.41775093503713;62.077232672742824;63.6574522778704;83.9014347826087
1;62.0;67.78115942028985;67.78115942028985;62.80362024383618;65.13811594202896;60.890797;74.01081294666227;66.41636756644603;63.752072323826546;83.9014347826087
2;65.0;74.0;69.0;61.901478017176345;68.00592753623187;67.50799;75.6623921482539;68.78453973546308;69.85537530531265;83.9014347826087
3;76.0;77.0;76.0;71.10274485299793;76.3578115942029;74.325676;77.4655989948718;76.2510730962759;74.76925809487953;83.9014347826087
4;86.0;85.0;84.0;83.24081302486957;84.86;79.85647;78.8371207273062;83.09620191319584;82.0553237296156;83.9014347826087
5;86.0;87.0;86.0;85.65368627558342;87.58;87.050285;80.89265848415359;84.63548133155663;91.01103694934609;83.9014347826087
6;89.0;80.0;90.0;91.75551647456604;92.11;90.338615;83.04950564990217;90.58227781690663;96.0146569642417;83.9014347826087
7;89.0;89.0;92.0;86.40499311980135;90.49;94.03422;84.30884430009122;89.19242985182191;90.9829985238351;83.9014347826087
8;89.0;80.0;92.0;89.58719726067002;90.87;92.52762;85.02961283609872;89.42189401698579;93.69937289913103;83.9014347826087
9;89.0;87.0;92.0;86.05932213667069;91.45;94.16455;85.51057827884439;90.23183885152534;92.83818529345136;83.9014347826087
10;89.0;93.0;92.0;88.53277341849645;92.59;96.47331;83.59641254036536;92.78771257137716;93.31458079725795;83.9014347826087
11;89.0;87.0;89.0;87.58559934433397;91.82;88.18534;81.98236240828693;89.29354267399385;92.4721834723893;83.9014347826087
12;89.0;90.0;89.0;90.82241104713742;90.15;86.18444;80.46893320796309;90.72744099991125;86.07003965973945;83.9014347826087
13;76.0;76.0;80.0;82.88143349870191;78.11;78.762695;78.1306009881662;81.53548016379901;79.82714391410215;83.9014347826087
14;76.0;77.0;78.0;80.77247061007861;78.31;79.40766;77.03794852182506;78.87180064372991;80.14465698761327;83.9014347826087
15;76.0;77.0;80.0;78.37534378180644;78.07;78.62728;77.18943443208654;80.22421041270019;82.34528804457658;83.9014347826087
16;76.0;77.0;77.0;78.10191664425619;78.91;77.40353;77.01713449706352;81.26381983958912;82.83216678166623;83.9014347826087
17;76.0;77.0;80.0;86.15706280796459;77.94;75.835625;75.82729179022274;82.02145110977206;80.77689595210984;83.9014347826087
18;76.0;77.0;77.0;71.23315170608635;77.55;74.663895;74.21530415936756;76.59428379950727;72.16187901623164;83.9014347826087
19;75.0;75.0;75.0;76.10288293548864;73.74;65.34494;72.24090180456794;72.79160600384397;71.14895783197518;83.9014347826087
20;63.0;63.0;68.0;64.85207353503885;65.98468115942028;67.94049;70.86907308170382;66.3284255475053;65.340536896687;83.9014347826087
21;63.0;74.0;68.0;64.25707184971866;67.15905797101448;67.51337;71.53663541037204;65.67788852904786;68.29046431728146;83.9014347826087
22;63.0;67.0;68.0;69.44443239544907;67.03811594202897;65.22718;71.7589601063494;68.16020005756745;69.83317698661337;83.9014347826087
23;63.0;61.0;67.0;71.81469008318372;66.2790579710145;68.32742;72.21694802459814;67.51264654646509;67.81827531979499;83.9014347826087
24;63.0;63.0;67.0;66.07000943821419;64.87905797101448;64.18146;71.46287089409071;64.12222627315658;67.39234894997838;83.9014347826087
25;66.0;69.0;69.0;64.02216632301248;67.52155072463768;70.79261;71.77618815933224;67.73333065744987;66.25346333588405;83.9014347826087
26;66.0;69.0;69.0;71.04130824169734;66.43905797101448;65.69372;71.30353923349932;65.08520246040827;66.82439183663126;83.9014347826087
27;66.0;71.0;68.0;64.76306279522744;66.74905797101448;66.01732;70.7228465825794;65.12593783656699;65.12848844924497;83.9014347826087
28;66.0;67.0;68.0;62.590965174123276;66.31030434782608;65.25143;72.34514137775382;68.16867951330582;68.78082278959211;83.9014347826087
29;66.0;69.0;67.78115942028985;64.9816959259537;66.9034347826087;65.30658;71.96332556878801;67.75878214586632;66.94001780215316;83.9014347826087
30;66.0;66.0;67.0;62.20498406152214;66.88124637681159;69.02095;71.91017243817728;67.57027817183888;66.5731952125538;83.9014347826087
31;66.0;64.0;67.78115942028985;70.1359742052708;67.1090579710145;70.67465;73.3168668258291;68.86343365071926;69.02086845801506;83.9014347826087
32;65.0;65.0;68.0;67.60136454595036;67.12592753623187;69.4896;73.07928037793107;66.8550335280399;69.67791437661081;83.9014347826087
33;67.78115942028985;67.0;71.0;67.47368381923327;68.60592753623186;68.66621;73.76188414870248;68.47050829807476;72.34970702373492;83.9014347826087
34;67.78115942028985;69.0;71.0;72.48539675907787;68.79686956521738;68.50358;73.81806256709797;68.55855187024392;71.89127717369152;83.9014347826087
35;67.78115942028985;67.0;71.0;73.47750894039541;69.27468115942028;69.79363;75.10698131326697;69.76536199926285;73.81349349057275;83.9014347826087
36;67.78115942028985;71.0;71.0;75.1470632659945;68.76592753623187;71.30316;76.97934086921991;69.88377928478825;74.88074072879418;83.9014347826087
37;67.78115942028985;73.0;71.0;73.9253960453166;69.37842028985506;71.94694;78.72588490549407;68.65325986367584;74.31451390661286;83.9014347826087
38;67.78115942028985;80.0;71.0;75.02395559711736;69.61155072463767;73.12086;79.43512234121857;70.3905162983768;74.0881569288986;83.9014347826087
39;67.78115942028985;72.0;71.0;76.00745135562688;69.41185507246374;72.07312;79.71291278506378;68.89184328779105;74.83279096805805;83.9014347826087
40;67.78115942028985;80.0;71.0;77.0614850792748;69.51404347826085;72.79364;80.00184935936429;69.2688100302274;76.50312148458671;83.9014347826087
41;67.78115942028985;73.0;72.0;79.72213966260287;69.46717391304347;71.9742;79.10486047855821;70.23647635059002;75.38674927925665;83.9014347826087
42;67.78115942028985;73.0;72.0;73.57808803850088;69.44060869565216;71.17051;78.75399363830645;70.4422220899193;72.8818707769504;83.9014347826087
43;67.78115942028985;80.0;71.0;75.22606324953841;69.44060869565214;72.04362;78.60108763577735;68.7218235394116;70.82023293700819;83.9014347826087
44;67.78115942028985;76.0;72.0;70.02208926549552;68.64060869565215;72.12535;77.93100201367929;68.84389858351999;70.4813055000406;83.9014347826087
45;67.78115942028985;76.0;72.0;75.84869279005026;68.40811594202897;69.79791;78.03319309651668;68.82530061734145;70.35506611067807;83.9014347826087
46;67.78115942028985;67.0;71.0;78.83491337987137;69.68811594202896;73.10888;78.85064866494464;69.98796974339784;72.59109582317978;83.9014347826087
47;67.78115942028985;69.0;71.0;81.01522847939114;70.21030434782608;71.62435;81.20837949418235;71.53940180776416;72.11714296935553;83.9014347826087
48;67.78115942028985;71.0;71.0;73.03631743898087;70.44030434782607;71.22634;81.4531624075839;70.38856106866474;71.91311350310069;83.9014347826087
49;76.0;77.0;77.0;75.09486189370121;78.41;74.112175;82.84223093364012;78.95496449169558;77.53850825330973;83.9014347826087
50;82.0;75.0;82.0;82.01004364150421;81.12;78.80374;83.132612191765;80.60433377572416;81.21318940895242;83.9014347826087
51;115.0;113.0;104.0;99.60611969609312;104.18;112.14746;86.22685051447975;109.44723898402158;110.45312295770769;83.9014347826087
52;115.0;106.0;103.0;98.55656218379347;102.16;111.9348;90.25259665488717;109.25343056743775;114.61405233130148;83.9014347826087
53;115.0;106.0;103.0;104.29155809398807;101.41;107.16661;91.9170328209857;104.17202345628294;108.7264428523415;83.9014347826087
54;115.0;81.0;103.0;102.66819018433415;102.82;111.790504;93.14506685182157;101.50355088573858;104.58606604547153;83.9014347826087
55;115.0;103.0;107.0;103.35348388543713;104.76;105.46428;94.37306731413022;106.13005438954016;111.66749624673058;83.9014347826087
56;115.0;113.0;104.0;116.7632816619185;110.32;108.79339;94.57546494878528;110.55917124945547;113.73648825152426;83.9014347826087
57;115.0;103.0;103.0;118.862317472845;104.37;108.37576;94.11887050756732;104.3932951581643;114.23382141549737;83.9014347826087
58;98.0;92.0;92.0;99.15749180250862;97.26;99.42909;90.17671724898712;95.50112849880006;100.40138933545586;83.9014347826087
59;98.0;82.0;93.0;90.92264504095915;99.98;106.41526;88.22503743497109;98.59458351176774;99.33803593180342;83.9014347826087
60;98.0;99.0;97.0;89.54954797164879;100.51;98.943886;86.04861243832792;102.47092009538753;97.55172803262055;83.9014347826087
61;98.0;113.0;99.0;98.32958513026705;106.36;102.0424;86.38648619164756;100.94884629863515;107.14310642941946;83.9014347826087
62;98.0;87.0;101.0;100.48610561814976;103.95;103.44536;84.74134920435309;106.80282918199468;99.8315831794076;83.9014347826087
63;82.0;81.0;86.0;81.6760405283826;85.88;93.632866;81.07313055398033;85.87779651391743;89.10888352952702;83.9014347826087
64;82.0;80.0;81.0;82.99085064049999;80.23781159420291;79.3692;79.35124910591924;80.53820250618412;84.6855987530748;83.9014347826087
65;67.78115942028985;72.0;72.0;72.67822207710347;70.77124637681159;69.53628;77.15416442027265;72.56626213276698;75.7285395594842;83.9014347826087
66;67.78115942028985;69.0;72.0;69.56130444322845;69.61562318840579;72.521095;76.33818823973;67.68723245220536;74.414716189435;83.9014347826087
67;67.78115942028985;68.0;72.0;75.17509157850048;70.84124637681158;71.59848;76.32576899081513;68.56482428306785;73.67273431572335;83.9014347826087
68;67.78115942028985;67.0;71.0;69.01988938750635;69.83905797101448;70.4942;76.19183080924427;68.39904138523897;69.83364173984755;83.9014347826087
