;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;58.0;63.0;64.58290993561145;62.111246376811586;61.970848;70.92047090306923;64.21924290658073;62.23209483509878;83.9014347826087
1;62.0;66.0;65.0;63.9823066052838;65.60686956521738;61.45029;72.68885601515112;66.81455978803875;67.48025118522611;83.9014347826087
2;65.0;74.0;69.0;65.5522764028325;68.53811594202897;68.41594;74.21200622104821;69.29709040881504;64.97219005124151;83.9014347826087
3;76.0;77.0;77.0;69.75513386624634;77.48;74.9587;77.36946619035926;77.2605538924047;74.49929106557137;83.9014347826087
4;86.0;85.0;83.0;77.02805517551016;84.49;77.33239;79.18358035878346;82.98426947479722;82.27706731534013;83.9014347826087
5;86.0;85.0;87.0;79.36352891431673;87.3;85.808044;81.36666612591054;83.54456962578948;87.13058145351866;83.9014347826087
6;89.0;86.0;92.0;87.99879911204752;90.6;92.10716;83.31545253836666;90.61624428837193;93.57939096941891;83.9014347826087
7;89.0;90.0;92.0;85.28315540705188;91.86;92.886826;84.02322790710276;88.60947982035957;88.38212289770827;83.9014347826087
8;89.0;82.0;91.0;87.05066854160684;90.09;91.19091;84.80444703332833;91.10675566014763;89.0343358196119;83.9014347826087
9;89.0;83.0;92.0;88.13029133600944;93.88;94.5607;85.42924758223401;87.56722150746039;93.55652836174966;83.9014347826087
10;89.0;91.0;92.0;85.78737224890806;90.1;95.948044;84.79662747678049;93.83490107213362;93.50114833640528;83.9014347826087
11;89.0;90.0;89.0;87.15342117061023;91.57;88.4124;82.73780706803524;93.05378484172137;91.98755679103436;83.9014347826087
12;89.0;86.0;90.0;85.37126297771401;88.57;85.62797;80.97342647507062;91.10738345266883;87.4289451058762;83.9014347826087
13;76.0;76.0;77.0;79.01051890694221;77.49;79.375435;78.45181619650477;79.95863064268039;82.43991057973984;83.9014347826087
14;76.0;76.0;77.0;76.20162992913525;78.97;77.51666;77.15948690169202;80.39496843321425;81.64329847977623;83.9014347826087
15;76.0;77.0;82.0;77.61346690991151;78.78;79.724144;76.78240420559064;78.02171599227815;81.18251950830387;83.9014347826087
16;76.0;77.0;80.0;79.65095128260988;78.7278115942029;77.07055;76.98249217542018;79.87662592290575;79.77859967792716;83.9014347826087
