;y_truth;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
0;61.0;85.0;68.0;70.92803278723281;71.29468115942029;76.03449;71.1185734034894;70.81989757315479;68.95764367738684;83.9014347826087
1;62.0;67.78115942028985;63.0;67.44687031051345;63.00468115942028;63.026253;69.830763021469;66.11686481198389;65.92066647237863;83.9014347826087
2;65.0;56.0;66.0;74.84052265730355;73.36;75.45865;70.95028613032257;80.7740566376733;75.46461386954591;83.9014347826087
3;76.0;66.0;69.0;77.2879160045961;84.23;61.77988;71.71720654195727;74.77982472566073;93.2345325880944;83.9014347826087
4;86.0;93.0;69.0;72.07256189184082;72.8878115942029;71.71676;71.69589377688456;71.40678258265825;70.1544125427044;83.9014347826087
5;86.0;63.0;71.0;76.40563374899047;72.48030434782609;74.81718;73.50584793520147;70.8832322909575;75.42390505254528;83.9014347826087
6;89.0;63.0;72.0;75.30907355956833;74.14562318840579;69.93552;74.22822819286168;71.03661287826966;75.99149408544412;83.9014347826087
7;89.0;84.0;72.0;79.64356626881818;77.33686956521737;72.738625;74.28809273150377;72.87573498834823;72.06954942720104;83.9014347826087
8;89.0;103.0;84.0;92.58596568478656;87.4478115942029;90.23582;79.66279356029222;82.96881434795493;84.35871273218045;83.9014347826087
9;89.0;99.0;99.0;95.12640801819813;92.78;98.804054;87.78974723581452;95.33843032123333;92.925393230595;83.9014347826087
10;89.0;82.0;92.0;99.78080678109023;95.08;93.14641;91.46761408277678;89.2788697037214;101.94447595938581;83.9014347826087
11;89.0;80.0;92.0;98.31211221464662;99.02;100.02905;92.41254057175178;97.04481691475675;96.1823538389954;83.9014347826087
12;89.0;113.0;89.0;94.238255871353;90.66;98.71668;85.98902097740903;91.9456038275459;88.97105522567767;83.9014347826087
13;76.0;93.0;85.0;74.92315133797575;81.06;82.312996;75.47653274002187;82.97186019314792;80.6863897001233;83.9014347826087
14;76.0;84.0;80.0;73.76925377024062;79.58343478260869;82.40113;73.29899056659121;81.85596204476475;76.86088576769409;83.9014347826087
15;76.0;80.0;76.0;80.30450920459927;80.69343478260869;84.8626;76.15633401693881;81.28942652283942;80.83643863352705;83.9014347826087
16;76.0;81.0;92.0;86.46377848233362;94.40562318840581;83.63985;82.52725091735506;80.10529132816332;96.03387766077873;83.9014347826087
17;76.0;118.0;95.0;86.86255079713962;97.98;89.94168;85.74386073919584;90.44499132125095;98.7828052208176;83.9014347826087
18;76.0;113.0;85.0;87.04658363352482;86.13;80.8247;83.50925714800643;82.1235295654497;83.42584294728626;83.9014347826087
19;75.0;91.0;76.0;81.39893105176787;77.2578115942029;71.05204;74.75712762619014;75.59213678685533;73.87383088634765;83.9014347826087
20;63.0;89.0;71.0;61.10469844446379;74.5434347826087;72.31139;69.92161348953145;67.62071843908434;68.682533581358;83.9014347826087
21;63.0;89.0;80.0;79.72862261950081;80.4078115942029;87.07454;72.37924983432362;78.23391668641754;76.93794462577496;83.9014347826087
22;63.0;67.0;76.0;73.82571914871266;73.69686956521737;79.86119;73.80102233657222;74.83688731312043;76.38623622258861;83.9014347826087
23;63.0;68.0;77.0;72.69123709008392;77.07343478260869;73.64492;73.17066306733477;76.73811387028476;76.7161818087509;83.9014347826087
24;63.0;76.0;77.0;81.6582747504617;79.80781159420289;81.45978;73.84527440160261;78.12850115013042;81.14745742701759;83.9014347826087
25;66.0;67.0;72.0;82.35151857755936;78.30343478260869;74.62513;76.32427924076629;77.03101101493873;72.48834598928228;83.9014347826087
26;66.0;63.0;67.0;68.62941151524998;68.77468115942028;68.22057;71.02549312563012;67.25536955260661;62.50155737385535;83.9014347826087
27;66.0;56.0;68.0;67.08546144270991;70.2278115942029;61.186295;70.61515599435475;61.039684302822984;61.35681947352448;83.9014347826087
28;66.0;67.78115942028985;70.0;72.44433362496179;72.32343478260869;69.88369;74.13595839504403;66.79324944359708;74.61736633063086;83.9014347826087
29;66.0;91.0;75.0;67.36282424220809;77.1434347826087;67.63861;72.2517994416322;76.28085472337341;73.73022278865423;83.9014347826087
30;66.0;104.0;78.0;76.71397557620844;83.32343478260869;79.53523;75.69607515066076;80.37267572139754;75.96696191216543;83.9014347826087
31;66.0;71.0;75.0;75.69462211135676;79.4356231884058;74.09988;76.50143171874619;76.67905208980454;81.67450056901798;83.9014347826087
32;65.0;72.0;77.0;79.19038537565481;78.82;78.50968;74.48311933271417;76.80942136739736;75.57302529184875;83.9014347826087
33;67.78115942028985;89.0;77.0;74.67570393420561;74.21343478260869;76.53581;72.6877399720032;73.39175578195332;76.10134437563687;83.9014347826087
34;67.78115942028985;61.0;66.0;61.114834681065666;66.2356231884058;70.38665;69.84222541242895;68.21289130111705;66.27653304970758;83.9014347826087
35;67.78115942028985;61.0;61.0;63.62164078648047;65.13;66.92893;69.99286503578527;62.29488957081627;62.917218178404326;83.9014347826087
36;67.78115942028985;80.0;72.0;77.20185255338298;75.13905797101448;74.57999;73.35637354600499;75.57475697245373;71.50736546039204;83.9014347826087
37;67.78115942028985;69.0;70.0;74.60841837656682;72.64124637681158;73.27209;76.59330538603531;69.5692733109088;68.80468124153975;83.9014347826087
38;67.78115942028985;68.0;74.0;71.632297313148;76.1578115942029;73.718346;77.36782921687296;66.45868238009128;72.40300737708509;83.9014347826087
39;67.78115942028985;107.0;76.0;83.94707921585962;82.15124637681157;86.13282;79.37062655916766;77.00407616452009;76.55804832258288;83.9014347826087
40;67.78115942028985;74.0;79.0;82.87048110904527;85.02124637681158;102.718735;79.81261266357215;88.16173805579271;90.60731757576396;83.9014347826087
41;67.78115942028985;74.0;80.0;82.6237540716583;84.60562318840579;84.64985;79.44916808929935;86.69377851722814;80.87107384228189;83.9014347826087
42;67.78115942028985;103.0;76.0;81.9527241242734;79.5012463768116;85.80308;79.37931905603044;80.99340379038964;75.12343661331703;83.9014347826087
43;67.78115942028985;77.0;76.0;79.8052703714502;82.93124637681157;87.44151;80.0059622858294;85.93610840429274;80.31232863210948;83.9014347826087
44;67.78115942028985;87.0;77.0;78.90641243050207;77.14905797101449;80.74148;79.96387060266743;82.97997544511405;80.34955805924369;83.9014347826087
45;67.78115942028985;83.0;77.0;80.23606647433823;78.40686956521738;84.35568;79.93588973624269;83.35951639752206;79.40442268596281;83.9014347826087
46;67.78115942028985;69.0;77.0;83.67732220541068;81.13343478260869;78.91182;78.89307493149241;76.32279222751039;82.38298150480654;83.9014347826087
47;67.78115942028985;73.0;76.0;80.84241108205597;80.7978115942029;84.218666;77.76972701671589;82.8325163156014;80.34153864049077;83.9014347826087
48;67.78115942028985;128.0;89.0;85.61369784181903;92.72343478260869;87.07636;78.56464628580788;89.11435871449471;85.05511248691208;83.9014347826087
49;76.0;79.0;81.0;85.88711258057609;88.6878115942029;90.296135;77.12022474593861;85.00647673046981;87.93518537209086;83.9014347826087
50;82.0;69.0;72.0;84.85657907277992;73.94781159420289;82.31845;73.43467943782245;75.90685783452325;76.30848398568749;83.9014347826087
51;115.0;80.0;82.0;85.6074556376545;84.41;75.96267;74.71544749945578;81.68428450463512;81.95044615228929;83.9014347826087
52;115.0;82.0;76.0;81.21877126526802;82.27;79.54832;78.14917447389243;82.32161787783569;83.84249481946536;83.9014347826087
53;115.0;76.0;76.0;78.19155759957115;74.0878115942029;75.04368;76.60120236037221;77.72688700139541;78.44076596352916;83.9014347826087
54;115.0;81.0;76.0;83.21269819408386;81.84;77.449104;80.74146846702985;76.17507546058924;81.05388514620766;83.9014347826087
55;115.0;89.0;89.0;95.60212289579493;91.68;94.424484;87.61627115209893;91.6530244325907;100.50839494251878;83.9014347826087
56;115.0;113.0;113.0;118.28190298130698;109.69;99.82747;100.36611662823783;108.25873115017761;109.48167919127374;83.9014347826087
57;115.0;92.0;113.0;119.86711292599281;115.56;106.59825;100.41180538074885;101.52148081953327;127.0387512777107;83.9014347826087
58;98.0;80.0;92.0;99.99732715167764;93.45781159420291;99.11155;90.95166986609132;92.39080640131145;109.02327202391504;83.9014347826087
59;98.0;84.0;85.0;91.29635114917679;84.34;81.28073;84.73083700214727;82.39514959161292;84.6029586422309;83.9014347826087
60;98.0;80.0;89.0;94.95165211885536;91.22;85.20303;86.41147854717616;86.51035308913328;87.21858559485831;83.9014347826087
61;98.0;107.0;103.0;101.04757581212954;106.98;106.02245;96.05520867514785;99.72685454229057;103.04935552384113;83.9014347826087
62;98.0;103.0;104.0;110.67115224283576;106.35;106.913185;94.28228618806729;105.67695924142502;104.1836877609968;83.9014347826087
63;82.0;89.0;98.0;101.86868417178275;98.59;106.89649;89.08149690067727;103.1929882245267;101.42131401660143;83.9014347826087
64;82.0;77.0;81.0;96.0320990422075;98.05;115.14748;82.10393039766534;98.54837678629372;99.66624279564195;83.9014347826087
65;67.78115942028985;89.0;77.0;78.41839217130729;83.4;69.80723;75.00759953359042;82.13110657218661;75.56136123525722;83.9014347826087
66;67.78115942028985;128.0;84.0;85.88572447907848;89.63;80.63224;76.62786040426997;80.25165228075325;82.91791344604967;83.9014347826087
67;67.78115942028985;74.0;81.0;81.17828654610682;83.26124637681158;77.879326;79.78653339077292;82.20035513175749;78.83572186012447;83.9014347826087
68;67.78115942028985;128.0;82.0;83.78190493724006;94.7456231884058;91.270706;79.55309298344342;86.51973481174362;97.12871003344328;83.9014347826087
69;67.78115942028985;118.0;89.0;79.76224542911552;97.57;89.373505;78.68178341413896;79.8515800414769;92.98564321007255;83.9014347826087
70;67.78115942028985;82.0;82.0;85.76294493545059;86.8078115942029;87.6301;78.77913906819022;83.54457007838934;85.11810702638898;83.9014347826087
71;67.78115942028985;79.0;77.0;90.97516141682854;82.9556231884058;85.14058;78.3790705371844;81.91014694949341;87.22524485717736;83.9014347826087
72;67.78115942028985;72.0;73.0;79.2520747440232;76.45781159420291;92.51994;75.3277110993308;90.09802310543402;75.84712633538568;83.9014347826087
73;66.0;76.0;89.0;80.89384783064341;81.7278115942029;97.80824;73.81529517736229;88.01254741516406;86.5462393553338;83.9014347826087
74;68.0;77.0;76.0;74.29358771694328;81.9;64.198006;73.12659154870296;73.78888335603747;79.2710289878153;83.9014347826087
75;68.0;65.0;70.0;64.58674851587625;69.0978115942029;69.70914;70.4889220208156;67.77257393626043;67.25179323573607;83.9014347826087
76;68.0;57.0;70.0;70.52602122722016;70.47;73.00694;69.95364868889087;72.08099128499958;69.58105187694761;83.9014347826087
77;68.0;104.0;77.0;81.86548876713195;83.31;91.21245;74.43788100657086;88.12258145734266;86.06310092859907;83.9014347826087
78;68.0;76.0;98.0;87.56620777772325;98.28;102.3836;78.25759599851658;114.44529561259267;106.40904690402186;83.9014347826087
79;68.0;128.0;97.0;83.86441638055688;92.1534347826087;86.35573;80.10940532115738;87.03171722410937;89.5844073533251;83.9014347826087
80;87.0;91.0;76.0;74.03863383604102;85.8590579710145;70.790825;75.75271586597626;79.48414519298336;78.9670220931712;83.9014347826087
81;87.0;61.0;69.0;65.18689425504957;74.1;69.88105;69.75699283040936;71.67894819892807;70.23609877963966;83.9014347826087
82;87.0;71.0;66.0;74.43325039601085;66.48;68.35766;69.49595043107976;69.93032229760999;68.61233422152372;83.9014347826087
83;87.0;60.0;65.0;62.211079701485716;64.57;58.627857;70.74457704162197;58.11328279504909;59.48753482969248;83.9014347826087
84;87.0;104.0;77.0;82.79665774568946;90.13;84.65259;73.1707994947152;82.38690892156892;76.55402821858647;83.9014347826087
85;87.0;115.0;98.0;105.74787273934882;96.49;95.71861;85.04572401838806;92.4641522608085;95.80379869566984;83.9014347826087
86;87.0;95.0;96.0;93.22116375830396;105.58;101.51111;80.47328837401236;94.06980419600335;108.84907257664833;83.9014347826087
87;63.0;104.0;72.0;80.31241494157376;81.87;83.67847;72.80929617309127;79.39610654422175;79.44267732546083;83.9014347826087
88;63.0;65.0;76.0;78.33394267754687;80.12781159420291;84.77609;72.2087455897472;76.180887027549;83.52610021706037;83.9014347826087
89;54.0;60.0;66.0;61.40773552619967;66.27;68.850685;68.00495579231664;64.22387154170723;62.88804069046398;83.9014347826087
90;61.0;70.0;66.0;41.69519795213981;69.3878115942029;58.154778;67.84103531486218;68.6098447950242;69.44265929697451;83.9014347826087
91;63.0;70.0;70.0;65.4457578850091;72.89;62.13921;68.11097439526905;61.66936480455614;70.68014488390382;83.9014347826087
92;66.0;60.0;70.0;58.64273305300334;66.02;67.247375;68.6723922126578;64.35741093541402;64.30656242914007;83.9014347826087
93;72.0;60.0;60.0;48.385834276733945;64.7378115942029;53.239735;68.87063961695111;69.97596947182844;58.09925951285144;83.9014347826087
94;72.0;70.0;65.0;54.834583479960244;68.41;56.334526;67.98348691932331;64.51469424729667;66.68941345584136;83.9014347826087
95;72.0;60.0;67.78115942028985;72.51081553402665;66.6956231884058;63.019653;70.07485591344181;59.00580161247793;66.72193216670374;83.9014347826087
96;72.0;76.0;71.0;75.85758478772857;70.3378115942029;69.136505;72.5205676146913;70.44854847584632;65.33470481502096;83.9014347826087
97;72.0;76.0;88.0;98.50349010832667;89.16;86.77341;75.86737877599721;80.81278267965807;84.47858547497574;83.9014347826087
98;72.0;118.0;98.0;88.55880571017747;102.7;98.87996;80.52994087055134;91.91817188757102;99.15519171420597;83.9014347826087
99;72.0;80.0;89.0;82.24790031782828;90.85;97.07509;78.08175665573192;95.31377485074673;91.62538266523161;83.9014347826087
