;0;1;2;3;4;5;6;7;8;lag
1;11.266564522491606;8.596350863136683;9.931831250129997;8.503327944996942;9.187241906380967;10.182654545056652;8.736072879092177;8.594872647465246;16.39296852604123;5
2;0.3994477962814935;0.650380204319297;0.5333122380954076;0.657905882811453;0.6006643782112446;0.5094426704856787;0.6389226509254613;0.6505004341782249;-0.27140220015042393;5
3;7.55531884057971;6.670333333333333;7.3093085268203595;6.678233768115941;6.914756579523502;8.182937165720341;6.361154532088293;6.935012791402849;14.569153043478263;5
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;6
1;12.74275292677799;6.100215211356787;7.8568632291976295;5.867167682763493;6.463028722709854;9.641707753229477;6.579115814254436;6.582981252637041;16.39296852604123;6
2;0.23176467402112322;0.823941068290378;0.7079439987151108;0.8371361303354359;0.8023758929861045;0.5601792895806803;0.7952127983669929;0.7949720897749698;-0.27140220015042393;6
3;6.651884057971015;4.7037681159420295;5.776238454987721;4.415666956521736;4.900379272018654;7.845122281867304;4.905569388948973;5.0726793747862855;14.569153043478263;6
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;7
1;7.083296506075731;4.753691423158203;6.36544930500211;3.7914180550099563;4.808898922125097;9.179309151534186;4.3458089320271025;4.801213027846031;16.39296852604123;7
2;0.7626230245576389;0.8930871954035563;0.8082983389291911;0.9319902628534641;0.8905894890830517;0.6013536958506617;0.9106470274574758;0.8909389435544315;-0.27140220015042393;7
3;4.22063768115942;3.738144927536232;4.9418627505985535;2.534521159420285;3.6359125666963883;7.430752996606822;3.262559487077176;3.843215082019309;14.569153043478263;7
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;8
1;6.898397244365013;4.690124157021387;6.287529215004962;4.423648308367025;4.79031568292478;9.255648032008718;4.373355847712229;4.716099580838968;16.39296852604123;8
2;0.7748540455306853;0.8959273944680023;0.8129628912070951;0.9074174938298372;0.8914334549192978;0.5946955137569343;0.9095106683066523;0.8947714267777755;-0.27140220015042393;8
3;4.032188405797101;3.7093913043478266;4.787512657830203;2.8601463768115893;3.66119737199424;7.480624904018303;3.2932026274312416;3.70785580793267;14.569153043478263;8
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;9
1;7.286149470198879;4.948224997291304;7.1683063510257705;4.038245826785811;4.689616900398528;9.520414770645969;4.443618876905461;5.037224028564388;16.39296852604123;9
2;0.7488322350252556;0.8841578454562784;0.7568910971162579;0.9228469224245706;0.8959499050292731;0.571175601152353;0.9065796791374937;0.8799532847522702;-0.27140220015042393;9
3;4.2653188405797104;3.835956521739131;5.436791144257106;2.709913188405792;3.516745600824771;7.779605056153988;3.3975035852180984;4.073075718710459;14.569153043478263;9
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;10
1;8.19016480529618;4.881481344164039;6.642073309175019;3.951042615141281;5.151937705402582;9.870752972412546;4.557986935959306;4.991842345734277;16.39296852604123;10
2;0.6826393841149346;0.8872618208207441;0.7912747077489157;0.9261430827649062;0.8744233322055945;0.5390346142187963;0.9017089666973132;0.8821066061217;-0.27140220015042393;10
3;5.078753623188406;3.8693913043478263;4.862333110141253;2.7278165217391255;3.951408858810646;8.180456816286467;3.5264511131952343;3.9580310611445246;14.569153043478263;10
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;11
1;6.829033466650815;4.588495716752834;6.5405277039514065;3.820631036470688;4.539383415808023;10.159564021565402;4.437070089838177;5.312680410237587;16.39296852604123;11
2;0.7793589931603536;0.9003887454555535;0.7976080067033431;0.9309381914597658;0.9025096831507824;0.5116649559409425;0.9068548327873283;0.8664649937546887;-0.27140220015042393;11
3;4.307507246376812;3.6315797101449276;5.03742213426514;2.6984946376811543;3.591975722824318;8.508314983617554;3.212088731897566;4.3096195899830745;14.569153043478263;11
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;12
1;7.764907278593774;4.677880679736736;7.009732402041497;4.049294395915551;4.968906645311033;10.42262415975142;4.585571420120687;5.338880504691559;16.39296852604123;12
2;0.7147403816438538;0.896470044252227;0.7675280135965462;0.9224241659773424;0.8831874718635092;0.48604877766526866;0.9005156715996153;0.8651446595906609;-0.27140220015042393;12
3;4.768753623188406;3.678144927536232;5.522445197707937;2.968560869565212;3.8854131083834;8.801622820485372;3.478307395578024;4.159107885462933;14.569153043478263;12
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;13
1;7.643572684395859;4.943044026407911;7.817374790384061;4.171977047167696;5.07963316911019;10.623337833940193;4.678962841032263;5.144380373706844;16.39296852604123;13
2;0.7235856739309577;0.8844003003275469;0.7108723565851445;0.917652281855213;0.8779233931839483;0.4660633479171694;0.8964221383402591;0.8747914765924888;-0.27140220015042393;13
3;4.850942028985507;3.975956521739131;6.371822605693965;2.969695217391299;4.045809493576271;9.01793968160896;3.4080195252634775;3.978855320955349;14.569153043478263;13
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;14
1;8.577477238325791;4.970013090498127;7.864550817146796;4.230488276720878;5.3124785435623085;10.83345015692965;4.496400408547895;5.453733750718469;16.39296852604123;14
2;0.651913726908273;0.8831354438989302;0.7073721917363802;0.9153262604776006;0.8664751414592491;0.4447336854524153;0.9043471959711399;0.859280069294583;-0.27140220015042393;14
3;5.331884057971015;4.072521739130435;6.274655481603783;3.281940724637677;4.144347548996193;9.197413148654686;3.4756016407132875;4.307131965400539;14.569153043478263;14
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;15
1;8.194308764945687;5.093064640804466;6.887837254613716;3.890497245346825;5.648939898781398;11.058339555745137;4.694477372958475;5.555681661912511;16.39296852604123;15
2;0.6823181543657286;0.877276954268063;0.7755428197872213;0.9283892911237291;0.8490261755045713;0.42144108378493605;0.8957341114064062;0.8539698758829873;-0.27140220015042393;15
3;5.166565217391304;4.085956521739131;5.132678447162388;2.9366686956521697;4.393547836635424;9.396955831694942;3.6471849090659187;4.48984693081851;14.569153043478263;15
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;16
1;8.177928969013012;5.337552454503737;7.661009756549464;4.348725000353532;5.7898164208424;11.242492362218151;4.596144763054401;5.469024640713027;16.39296852604123;16
2;0.6835869283866424;0.8652117419630954;0.7223230826139677;0.9105270742815469;0.8414021352950025;0.4020113363714398;0.9000563636830515;0.8584898769102598;-0.27140220015042393;16
3;5.092188405797102;4.208144927536232;5.964951265249373;3.2384002898550674;4.420811745021655;9.557149559991583;3.496323758699532;4.403403686371433;14.569153043478263;16
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;17
1;8.468612969611348;5.491850692486589;7.886470891455961;4.263309106918005;5.817914372321444;11.397496625836794;4.886235636487415;5.611485886773139;16.39296852604123;17
2;0.6606933908043973;0.8573061710853902;0.7057386941365756;0.914007338188582;0.8398590507053074;0.38540829675948185;0.887042112402573;0.8510215338719787;-0.27140220015042393;17
3;5.455623188405797;4.4937681159420295;6.383108599855035;3.1451440579710113;4.534969631139783;9.688890744353369;3.686400856401886;4.598981068202783;14.569153043478263;17
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;18
1;8.658255701204464;5.548209226846868;7.781716609376771;4.2918628759484045;5.664143642994851;11.570110557931445;4.813227754799663;5.739311522991136;16.39296852604123;18
2;0.6453266446087693;0.8543624350142657;0.7135039951162165;0.912851598745185;0.8482124099606883;0.36665147091270256;0.8903924240285606;0.8441569836941043;-0.27140220015042393;18
3;5.727811594202899;4.658144927536232;5.837616942284252;3.195950434782605;4.2061045230367915;9.807089325192596;3.6772069985467057;4.667081841235759;14.569153043478263;18
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;19
1;11.57026676213042;5.3043871959416435;8.536528656562368;4.441355049765096;5.556089143762542;11.734362737553063;4.670981105890023;5.542934161191798;16.39296852604123;19
2;0.366634369543276;0.8668815706884632;0.6552292975888536;0.9066748419279749;0.8539484539186121;0.3485414821108723;0.8967752191129341;0.8546392387441429;-0.27140220015042393;19
3;5.717811594202899;4.270333333333333;6.39808957908777;3.17014565217391;4.154777846847756;9.95635248826208;3.5288084817761685;4.476918225784163;14.569153043478263;19
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;20
1;12.137098496073172;5.480357828478571;8.782139135672884;4.657024433656222;5.487882198735381;11.858597428400078;4.684193867644991;5.352288719025926;16.39296852604123;20
2;0.3030566134978889;0.8579027804541138;0.6351046111466008;0.8973911591336079;0.8575123219802423;0.33467414521288896;0.8961904111636593;0.8644664500482953;-0.27140220015042393;20
3;6.587811594202898;4.285956521739131;6.87158989467866;3.308883043478257;4.184360366379005;10.062043928603037;3.4143376436113355;4.169393816569566;14.569153043478263;20
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;21
1;12.215101717828453;5.5847866310115775;8.636887362278381;4.489136000714753;5.61165044767146;11.996865375664225;4.857320025338051;5.307509816889024;16.39296852604123;21
2;0.2940695358312083;0.8524358300405381;0.6470751326681493;0.9046560206332086;0.8510127959404624;0.31906866597182626;0.8883750738688071;0.8667247945208819;-0.27140220015042393;21
3;6.568753623188407;4.4725217391304355;6.688453362509246;3.2723814492753593;4.3628851466524425;10.166424853928328;3.65454528097565;4.290185286207641;14.569153043478263;21
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;22
1;12.014845224808242;5.576654629220119;8.091648167755084;4.247805246234209;6.09732784737332;12.098670388606422;4.887738896775051;5.648876468879418;16.39296852604123;22
2;0.31702609623737776;0.8528652532289585;0.6902283061455636;0.9146316391896996;0.824107693858539;0.30746290827265377;0.8869725982654427;0.8490295659464229;-0.27140220015042393;22
3;6.26;4.531579710144928;6.196692410288984;3.2373921739130394;4.689732508783756;10.256689447410768;3.602347646140994;4.322013209954064;14.569153043478263;22
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;23
1;11.776656521074857;5.726635217444325;9.681539891561156;4.568359011235733;5.924990194064619;12.192400226381272;5.167108988217439;5.797663315121765;16.39296852604123;23
2;0.34383695751072485;0.8448446383177723;0.5565377797238374;0.90126111900997;0.8339101777253157;0.2966910093296711;0.8736826538895998;0.8409719510135271;-0.27140220015042393;23
3;6.018753623188405;4.575956521739131;7.896110905378792;3.5268814492753586;4.572612662826759;10.338207324631924;3.8650402246986095;4.656718461894932;14.569153043478263;23
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;24
1;12.065044176847756;6.103188959875091;9.16572581400313;4.663911123335499;6.0635310078722044;12.278858087170017;4.987837330642104;5.678700117222596;16.39296852604123;24
2;0.3113071384985159;0.8237693751349323;0.6025326387876839;0.8970874640456327;0.8260521944773975;0.2866811370635701;0.8822957048060359;0.8474312393526617;-0.27140220015042393;24
3;6.293130434782609;4.928144927536232;7.21412478020434;3.471592463768112;4.631598144088966;10.409916078121626;3.632271190321943;4.686971599362903;14.569153043478263;24
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;25
1;12.132045885426725;6.109791580823409;9.94605104857028;4.785545354878592;6.0574114613583925;12.352927755630429;5.081747098605375;5.540779984430999;16.39296852604123;25
2;0.3036367604924881;0.8233878652639658;0.5319749305230661;0.8916495743571758;0.8264031268063499;0.27804928379423677;0.8778217657520608;0.8547522012717822;-0.27140220015042393;25
3;6.3031304347826085;4.938144927536232;7.951122120570269;3.6224756521739097;4.606990943466408;10.460010553489122;3.749425617363949;4.409734178418381;14.569153043478263;25
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;26
1;10.395895983902905;5.505080819462824;8.765174191837122;4.813948393599392;6.457223781460607;12.433390054579252;5.356049580267178;6.377477546784391;16.39296852604123;26
2;0.488681390070981;0.8566178306515769;0.6365130266782868;0.8903596005724372;0.802730736260795;0.26861362561736146;0.864275914005246;0.8075731701667641;-0.27140220015042393;26
3;6.088753623188406;4.315956521739131;6.67917049626191;3.692909710144925;4.785261626754982;10.499961242826918;3.991473896977351;5.132432595266383;14.569153043478263;26
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;27
1;12.320604889002727;6.175911847294913;9.058981276951368;4.5888444176980165;6.33287780350936;12.518276461542571;5.22479495075626;5.656330894516468;16.39296852604123;27
2;0.281822476211647;0.8195445822089977;0.6117365827029153;0.9003736050432817;0.8102551641541924;0.2585927549451632;0.8708464789474657;0.8486308528803729;-0.27140220015042393;27
3;6.663434782608695;5.055956521739131;6.796126341523355;3.4853689855072427;4.760912814264713;10.561744741696366;3.972706851550788;4.654306503119019;14.569153043478263;27
;0;1;2;3;4;5;6;7;8;lag
0;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier;28
1;11.993360447890254;5.842463512866884;8.497772027710731;4.835101453478243;5.883221899130127;12.607235929281488;5.162560051527644;5.724827206495428;16.39296852604123;28
2;0.31946648097448593;0.8385047451313408;0.6583527727133376;0.889393937781807;0.8362436284831607;0.24801788946579528;0.8739049664743677;0.8449425940278226;-0.27140220015042393;28
3;6.209057971014492;4.745956521739131;6.474216741043366;3.730575942028984;4.495082430963931;10.637158524256444;4.003497365030755;4.35369807901296;14.569153043478263;28
